    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2 
0.87 0.809 -1.798 5.888 5.393 -1.169 -2.292 -1.888 8.539 7.179 -1.169 3.095 13.33 4.404 3.865 8.18
0.875 1.978 0 11.37 10.43 2.697 1.933 4.809 16.36 13.15 1.079 6.362 17.8 7.371 5.213 9.258
0.88 3.775 3.056 15.19 13.26 6.337 6.517 11.24 20.36 15.3 2.247 7.05 16.16 6.652 3.146 6.652
0.885 5.213 6.157 15.55 12.81 8.449 9.618 13.93 18.47 12.6 1.978 4.901 9.888 3.146 -1.978 0.9888
0.89 6.292 8.404 12.04 9.258 8.764 10.25 11.19 10.97 6.019 0.08989 1.032 2.321 -1.079 -8.27 -6.112
0.895 7.191 9.618 5.933 4.135 7.461 8.629 4.584 0.9888 -1.505 -2.876 -3.009 -3.095 -3.865 -13.48 -11.87
0.9 7.82 9.573 -0.2247 -0.4494 4.899 5.528 -1.888 -6.921 -7.007 -5.933 -6.019 -5.159 -4.045 -15.73 -14.2
0.905 7.371 7.73 -4.494 -3.461 1.573 1.888 -5.124 -10.25 -8.813 -7.461 -7.308 -4.643 -2.157 -14.65 -12.67
0.91 5.034 3.416 -6.202 -4.764 -2.067 -1.708 -4.494 -8.719 -7.394 -6.652 -7.05 -2.407 0.4494 -10.7 -8.27
0.915 0.4494 -3.056 -5.483 -4.584 -5.798 -5.393 -1.303 -3.865 -4.17 -3.596 -6.105 1.806 3.955 -5.124 -1.169
0.92 -5.843 -10.29 -3.101 -3.416 -9.124 -8.899 2.112 2.022 -0.6878 0.2697 -5.073 8.082 8.449 1.169 7.461
